trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,2800.jpg,negative,baseline,2.0,6.0,5.9806998999999905,4,1
1,3101.jpg,negative,baseline,1.0,8.0,4.501096899999993,4,1
2,6360.jpg,negative,baseline,1.0,5.0,2.542068800000038,4,1
3,5920.jpg,neutral,baseline,5.0,4.0,4.10468179999998,4,1
4,3195.jpg,negative,baseline,4.0,9.0,6.3504997,4,1
5,2377.jpg,neutral,baseline,2.0,2.0,3.9116661000000477,4,1
6,2200.jpg,neutral,baseline,5.0,2.0,3.7630123999999796,4,1
7,1710.jpg,positive,baseline,8.0,6.0,3.0799555999999484,4,1
8,7006.jpg,neutral,baseline,5.0,2.0,4.100032000000056,4,1
9,7000.jpg,neutral,baseline,5.0,2.0,5.05250940000019,4,1
10,1610.jpg,positive,baseline,4.0,4.0,3.1390970999998444,4,1
11,2840.jpg,neutral,baseline,7.0,4.0,3.4108395999999175,4,1
12,7009.jpg,neutral,baseline,5.0,3.0,5.548229999999876,4,1
13,3225.jpg,negative,baseline,4.0,7.0,3.5379398999998557,4,1
14,3500.jpg,negative,baseline,2.0,7.0,3.999315900000056,4,1
15,3030.jpg,negative,baseline,2.0,6.0,3.063388699999905,4,1
16,2347.jpg,positive,baseline,7.0,3.0,3.4671952000001056,4,1
17,2311.jpg,positive,baseline,7.0,4.0,2.594639399999778,4,1
18,7002.jpg,neutral,baseline,5.0,2.0,2.4523588000001837,4,1
19,2703.jpg,negative,baseline,4.0,3.0,2.5329811000001428,4,1
20,6212.jpg,negative,baseline,2.0,4.0,2.511280600000191,4,1
21,7018.jpg,neutral,baseline,5.0,4.0,1.9472665000000688,4,1
22,6350.jpg,negative,baseline,4.0,6.0,2.762618199999906,4,1
23,5510.jpg,neutral,baseline,5.0,2.0,7.2485820000001695,4,1
24,3301.jpg,negative,baseline,3.0,6.0,4.514273799999955,4,1
25,1750.jpg,positive,baseline,6.0,2.0,6.412178999999924,4,1
26,7003.jpg,neutral,baseline,5.0,2.0,2.6077731000000313,4,1
27,2360.jpg,positive,baseline,6.0,3.0,3.76921799999991,4,1
28,2091.jpg,positive,baseline,7.0,5.0,4.195778300000029,4,1
29,3005.1.jpg,negative,baseline,2.0,7.0,3.0242509000001974,4,1
30,2530.jpg,positive,baseline,5.0,3.0,4.233896400000049,4,1
31,2209.jpg,positive,baseline,6.0,4.0,4.3316707000001315,4,1
32,7017.jpg,neutral,baseline,5.0,3.0,3.6706727999999202,4,1
33,2101.jpg,neutral,baseline,4.0,2.0,3.0036740999998983,4,1
34,2340.jpg,positive,baseline,6.0,4.0,4.613624999999956,4,1
35,5532.jpg,neutral,baseline,5.0,2.0,2.837007999999969,4,1
36,7004.jpg,neutral,baseline,5.0,3.0,3.437801000000036,4,1
37,7012.jpg,neutral,baseline,5.0,2.0,4.518547200000057,4,1
38,2050.jpg,positive,baseline,7.0,5.0,3.3637473999999656,4,1
39,3350.jpg,negative,baseline,3.0,7.0,2.6703428999999232,4,1
40,1440.jpg,positive,baseline,7.0,5.0,2.849172499999895,4,1
41,3180.jpg,negative,baseline,3.0,6.0,2.6554681999998593,4,1
42,2095.jpg,negative,baseline,2.0,7.0,2.8075699999999415,4,1
43,2154.jpg,positive,baseline,6.0,4.0,2.8282166999999845,4,1
44,2332.jpg,positive,baseline,6.0,3.0,6.287093800000093,4,1
45,2411.jpg,neutral,baseline,5.0,2.0,2.5992636999999377,4,1
46,2749.jpg,neutral,baseline,5.0,4.0,2.4136707000000115,4,1
47,3103.jpg,negative,baseline,4.0,7.0,2.9297609000000193,4,1
48,2205.jpg,negative,baseline,4.0,6.0,2.9351890999998886,4,1
49,3530.jpg,negative,baseline,3.0,4.0,3.2503962999999203,4,1
50,1460.jpg,positive,baseline,7.0,5.0,2.675957000000153,4,1
51,6313.jpg,negative,baseline,2.0,7.0,3.5464285999998992,4,1
52,2540.jpg,positive,baseline,6.0,3.0,3.2785014999999476,4,1
53,2150.jpg,positive,baseline,4.0,4.0,3.9575887999999395,4,1
54,2058.jpg,positive,baseline,6.0,3.0,3.284674300000006,4,1
55,3230.jpg,negative,baseline,4.0,2.0,2.0729277000000366,4,1
56,1920.jpg,positive,baseline,5.0,3.0,3.15155569999979,4,1
57,2393.jpg,neutral,baseline,5.0,2.0,2.7939914999999473,4,1
58,1441.jpg,positive,baseline,5.0,4.0,2.775272399999949,4,1
59,2570.jpg,neutral,baseline,5.0,2.0,5.260216700000001,4,1
0,2205.jpg,negative,regulation,4.0,2.0,6.988253800000166,4,1
1,3530.jpg,negative,regulation,3.0,3.0,5.0620815999998285,4,1
2,6350.jpg,negative,regulation,2.0,4.0,4.600947800000085,4,1
3,3225.jpg,negative,regulation,4.0,6.0,5.26565410000012,4,1
4,3005.1.jpg,negative,regulation,2.0,8.0,4.699297600000136,4,1
5,3500.jpg,negative,regulation,4.0,2.0,3.7834282000001167,4,1
6,2800.jpg,negative,regulation,2.0,7.0,3.2581255000000056,4,1
7,3230.jpg,negative,regulation,3.0,3.0,3.6997868000000835,4,1
8,3195.jpg,negative,regulation,4.0,6.0,5.346676600000137,4,1
9,3030.jpg,negative,regulation,3.0,7.0,3.611894499999835,4,1
10,3103.jpg,negative,regulation,4.0,6.0,4.962878399999909,4,1
11,6212.jpg,negative,regulation,4.0,4.0,3.880067800000006,4,1
12,2703.jpg,negative,regulation,4.0,4.0,3.6687928999999713,4,1
13,3180.jpg,negative,regulation,4.0,3.0,4.275921400000016,4,1
14,3101.jpg,negative,regulation,5.0,3.0,2.981590300000107,4,1
15,3350.jpg,negative,regulation,3.0,5.0,3.852067799999986,4,1
16,2095.jpg,negative,regulation,3.0,6.0,2.6442050999999083,4,1
17,6313.jpg,negative,regulation,4.0,6.0,2.616740800000116,4,1
18,3301.jpg,negative,regulation,4.0,5.0,3.830894400000034,4,1
19,6360.jpg,negative,regulation,4.0,6.0,2.7850095000001147,4,1
