trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,2360.jpg,positive,baseline,6.0,6.0,6.172232800163329,124,2
1,3301.jpg,negative,baseline,3.0,6.0,7.944190899841487,124,2
2,2570.jpg,neutral,baseline,5.0,3.0,5.07714969990775,124,2
3,2530.jpg,positive,baseline,7.0,6.0,4.885046000126749,124,2
4,3230.jpg,negative,baseline,2.0,7.0,4.309569500386715,124,2
5,2332.jpg,positive,baseline,6.0,6.0,4.641578200273216,124,2
6,3530.jpg,negative,baseline,2.0,7.0,6.772763399872929,124,2
7,1610.jpg,positive,baseline,6.0,4.0,7.935970300342888,124,2
8,2101.jpg,neutral,baseline,5.0,4.0,4.526550800073892,124,2
9,2840.jpg,neutral,baseline,6.0,5.0,3.541085199918598,124,2
10,6350.jpg,negative,baseline,3.0,8.0,6.86038860026747,124,2
11,1440.jpg,positive,baseline,5.0,6.0,7.7624917002394795,124,2
12,2749.jpg,neutral,baseline,4.0,3.0,7.17626819992438,124,2
13,3005.1.jpg,negative,baseline,2.0,9.0,6.122074899729341,124,2
14,5510.jpg,neutral,baseline,3.0,8.0,3.582410800270736,124,2
15,3030.jpg,negative,baseline,3.0,3.0,10.007786199916154,124,2
16,3225.jpg,negative,baseline,1.0,9.0,3.7829014002345502,124,2
17,7000.jpg,neutral,baseline,4.0,4.0,7.468648000154644,124,2
18,1460.jpg,positive,baseline,3.0,4.0,7.556472199968994,124,2
19,3350.jpg,negative,baseline,2.0,8.0,5.825662499759346,124,2
20,2209.jpg,positive,baseline,6.0,6.0,6.958434999920428,124,2
21,2393.jpg,neutral,baseline,5.0,3.0,4.80688549997285,124,2
22,7009.jpg,neutral,baseline,5.0,1.0,4.869919900316745,124,2
23,2050.jpg,positive,baseline,7.0,5.0,6.279539200011641,124,2
24,1750.jpg,positive,baseline,6.0,6.0,3.280154200270772,124,2
25,1441.jpg,positive,baseline,8.0,8.0,5.6757773999124765,124,2
26,3195.jpg,negative,baseline,2.0,8.0,4.8320100996643305,124,2
27,7012.jpg,neutral,baseline,4.0,6.0,4.742421200033277,124,2
28,2340.jpg,positive,baseline,7.0,5.0,5.108204300049692,124,2
29,2205.jpg,negative,baseline,2.0,6.0,3.603028300218284,124,2
30,5920.jpg,neutral,baseline,4.0,6.0,5.923071300145239,124,2
31,7017.jpg,neutral,baseline,5.0,4.0,5.491593999788165,124,2
32,3103.jpg,negative,baseline,1.0,9.0,6.5042734001763165,124,2
33,2150.jpg,positive,baseline,6.0,5.0,7.326331400312483,124,2
34,5532.jpg,neutral,baseline,2.0,6.0,7.197877900209278,124,2
35,2058.jpg,positive,baseline,5.0,5.0,8.98156310012564,124,2
36,2091.jpg,positive,baseline,7.0,7.0,4.018878000322729,124,2
37,2095.jpg,negative,baseline,3.0,8.0,6.029244400095195,124,2
38,1710.jpg,positive,baseline,8.0,7.0,3.958363900426775,124,2
39,2703.jpg,negative,baseline,3.0,6.0,8.285420199856162,124,2
40,7004.jpg,neutral,baseline,5.0,2.0,7.376872200053185,124,2
41,3101.jpg,negative,baseline,2.0,8.0,5.336195700336248,124,2
42,2377.jpg,neutral,baseline,5.0,5.0,6.043884299695492,124,2
43,6212.jpg,negative,baseline,3.0,7.0,4.733507600147277,124,2
44,3180.jpg,negative,baseline,3.0,6.0,5.803365400061011,124,2
45,2154.jpg,positive,baseline,6.0,5.0,6.1752948998473585,124,2
46,7003.jpg,neutral,baseline,5.0,1.0,4.094303000252694,124,2
47,2311.jpg,positive,baseline,8.0,7.0,3.7754458002746105,124,2
48,2540.jpg,positive,baseline,6.0,6.0,7.3096380000934005,124,2
49,7002.jpg,neutral,baseline,5.0,2.0,5.929122900124639,124,2
50,2411.jpg,neutral,baseline,5.0,2.0,4.707781600300223,124,2
51,7006.jpg,neutral,baseline,5.0,1.0,3.6747745000757277,124,2
52,2347.jpg,positive,baseline,7.0,6.0,5.31477880012244,124,2
53,6313.jpg,negative,baseline,2.0,7.0,7.729676200076938,124,2
54,2200.jpg,neutral,baseline,4.0,6.0,3.9400603002868593,124,2
55,7018.jpg,neutral,baseline,4.0,3.0,9.771873800083995,124,2
56,3500.jpg,negative,baseline,2.0,8.0,10.008563399780542,124,2
57,6360.jpg,negative,baseline,1.0,9.0,3.6530635999515653,124,2
58,1920.jpg,positive,baseline,6.0,7.0,4.013289100024849,124,2
59,2800.jpg,negative,baseline,2.0,8.0,5.458548199851066,124,2
0,3530.jpg,negative,regulation,3.0,8.0,6.25428059976548,124,2
1,3230.jpg,negative,regulation,2.0,8.0,5.800856300164014,124,2
2,3005.1.jpg,negative,regulation,1.0,9.0,4.223003400024027,124,2
3,3350.jpg,negative,regulation,1.0,9.0,4.766342499759048,124,2
4,3301.jpg,negative,regulation,2.0,8.0,3.1927049001678824,124,2
5,3225.jpg,negative,regulation,1.0,9.0,4.900676200166345,124,2
6,3103.jpg,negative,regulation,1.0,9.0,3.7378138001076877,124,2
7,6313.jpg,negative,regulation,4.0,7.0,4.903332400135696,124,2
8,2703.jpg,negative,regulation,2.0,8.0,6.612821700051427,124,2
9,6360.jpg,negative,regulation,2.0,8.0,7.6182827996090055,124,2
10,3180.jpg,negative,regulation,3.0,8.0,4.731823300011456,124,2
11,3195.jpg,negative,regulation,1.0,9.0,4.053780400194228,124,2
12,6212.jpg,negative,regulation,2.0,8.0,3.2205638997256756,124,2
13,2095.jpg,negative,regulation,2.0,8.0,4.799583999905735,124,2
14,2800.jpg,negative,regulation,2.0,8.0,3.998898200225085,124,2
15,2205.jpg,negative,regulation,3.0,6.0,4.989375100005418,124,2
16,6350.jpg,negative,regulation,4.0,8.0,4.545365000143647,124,2
17,3500.jpg,negative,regulation,3.0,6.0,10.000351800117642,124,2
18,3101.jpg,negative,regulation,1.0,9.0,2.631660900078714,124,2
19,3030.jpg,negative,regulation,1.0,9.0,5.327837900258601,124,2
