trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,7161.jpg,neutral,baseline,4.0,4.0,9.028514600000108,120,1
1,9560.jpg,negative,baseline,7.0,2.0,4.849895500000002,120,1
2,7077.jpg,neutral,baseline,2.0,6.0,5.118930799999816,120,1
3,7186.jpg,neutral,baseline,5.0,6.0,3.110426299999972,120,1
4,9210.jpg,neutral,baseline,7.0,2.0,4.025902299999871,120,1
5,9800.jpg,negative,baseline,2.0,6.0,4.408306300000049,120,1
6,8200.jpg,positive,baseline,7.0,7.0,4.180394699999852,120,1
7,7150.jpg,neutral,baseline,5.0,1.0,3.921949300000051,120,1
8,9413.jpg,negative,baseline,1.0,8.0,4.4579590999999255,120,1
9,7035.jpg,neutral,baseline,4.0,2.0,4.569831500000191,120,1
10,9421.jpg,negative,baseline,1.0,5.0,4.532428100000061,120,1
11,8501.jpg,positive,baseline,9.0,8.0,3.5155397000000903,120,1
12,9040.jpg,negative,baseline,1.0,9.0,3.7747498999999607,120,1
13,8170.jpg,positive,baseline,8.0,8.0,2.9545442000001003,120,1
14,8190.jpg,positive,baseline,9.0,9.0,3.1903168000001187,120,1
15,7287.jpg,neutral,baseline,3.0,5.0,4.700468699999874,120,1
16,7179.jpg,neutral,baseline,6.0,3.0,3.1711104999999407,120,1
17,5830.jpg,positive,baseline,8.0,2.0,2.811697699999968,120,1
18,7037.jpg,neutral,baseline,5.0,5.0,3.6556100000000242,120,1
19,7484.jpg,neutral,baseline,5.0,2.0,3.3534350999998424,120,1
20,5833.jpg,positive,baseline,8.0,7.0,2.265963900000088,120,1
21,7270.jpg,positive,baseline,9.0,2.0,5.733388800000057,120,1
22,6570.jpg,negative,baseline,1.0,7.0,4.089356499999894,120,1
23,6540.jpg,negative,baseline,1.0,9.0,3.877738700000009,120,1
24,5210.jpg,positive,baseline,6.0,2.0,3.227989600000001,120,1
25,8496.jpg,positive,baseline,8.0,3.0,2.827920499999891,120,1
26,7041.jpg,neutral,baseline,5.0,3.0,3.9713758999998845,120,1
27,9571.jpg,negative,baseline,1.0,6.0,4.673085800000081,120,1
28,9901.jpg,negative,baseline,1.0,8.0,2.9284748000000036,120,1
