trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,8420.jpg,positive,baseline,6.0,0.0,10.00872779963538,124,1
1,5831.jpg,positive,baseline,7.0,6.0,5.344219000078738,124,1
2,7020.jpg,neutral,baseline,5.0,2.0,5.712299099657685,124,1
3,6520.jpg,negative,baseline,3.0,2.0,10.000378699973226,124,1
4,9414.jpg,negative,baseline,2.0,4.0,7.456849299836904,124,1
5,9800.jpg,negative,baseline,1.0,6.0,7.767130999825895,124,1
6,5830.jpg,positive,baseline,7.0,6.0,8.135615699924529,124,1
7,7150.jpg,neutral,baseline,5.0,0.0,10.009666899684817,124,1
8,9560.jpg,negative,baseline,3.0,2.0,8.24169209972024,124,1
9,6563.jpg,negative,baseline,1.0,5.0,8.04293810017407,124,1
10,9040.jpg,negative,baseline,1.0,8.0,3.936414399649948,124,1
11,9220.jpg,negative,baseline,5.0,3.0,10.01265380019322,124,1
12,8190.jpg,positive,baseline,3.0,8.0,10.004734700080007,124,1
13,7161.jpg,neutral,baseline,3.0,3.0,10.007389899808913,124,1
14,7025.jpg,neutral,baseline,5.0,1.0,4.192927000112832,124,1
15,7287.jpg,neutral,baseline,6.0,5.0,6.267052200157195,124,1
16,5833.jpg,positive,baseline,8.0,8.0,5.011354699730873,124,1
17,5700.jpg,positive,baseline,5.0,5.0,6.22829890018329,124,1
18,9921.jpg,negative,baseline,5.0,8.0,6.713945299852639,124,1
19,5910.jpg,positive,baseline,8.0,8.0,5.3132686000317335,124,1
20,9254.jpg,negative,baseline,2.0,6.0,7.186389800161123,124,1
21,7175.jpg,neutral,baseline,5.0,1.0,4.123237300198525,124,1
22,9910.jpg,negative,baseline,4.0,7.0,9.644555899780244,124,1
23,7186.jpg,neutral,baseline,5.0,1.0,4.829498999752104,124,1
24,2550.jpg,positive,baseline,8.0,7.0,5.875029799994081,124,1
25,7950.jpg,neutral,baseline,5.0,2.0,5.34095360012725,124,1
26,5210.jpg,positive,baseline,8.0,7.0,4.808996299747378,124,1
27,8496.jpg,positive,baseline,9.0,9.0,3.02077449997887,124,1
28,8200.jpg,positive,baseline,8.0,8.0,5.959794399794191,124,1
29,8370.jpg,positive,baseline,9.0,8.0,4.80704990029335,124,1
30,9901.jpg,negative,baseline,3.0,6.0,8.972903700079769,124,1
31,8170.jpg,positive,baseline,6.0,5.0,5.071476600132883,124,1
32,7035.jpg,neutral,baseline,5.0,1.0,3.514036600012332,124,1
33,5825.jpg,positive,baseline,7.0,6.0,3.4303318997845054,124,1
34,7270.jpg,positive,baseline,5.0,4.0,9.380233500152826,124,1
35,9940.jpg,negative,baseline,2.0,9.0,6.988787000067532,124,1
36,7211.jpg,neutral,baseline,4.0,6.0,6.4230260998010635,124,1
37,7077.jpg,neutral,baseline,5.0,1.0,6.222474399954081,124,1
38,8501.jpg,positive,baseline,6.0,7.0,6.1386045999825,124,1
39,5760.jpg,positive,baseline,8.0,8.0,3.6065358999185264,124,1
40,7041.jpg,neutral,baseline,5.0,4.0,8.834720299579203,124,1
41,6540.jpg,negative,baseline,1.0,9.0,7.092565800063312,124,1
42,9421.jpg,negative,baseline,1.0,9.0,4.148925800342113,124,1
43,6560.jpg,negative,baseline,1.0,9.0,5.996414000168443,124,1
44,7247.jpg,neutral,baseline,2.0,6.0,7.396544100251049,124,1
45,9210.jpg,neutral,baseline,4.0,7.0,7.301114600151777,124,1
46,6570.jpg,negative,baseline,3.0,6.0,8.516088199801743,124,1
47,7502.jpg,positive,baseline,8.0,6.0,7.957386900205165,124,1
48,7484.jpg,neutral,baseline,9.0,9.0,3.1101152999326587,124,1
49,8010.jpg,neutral,baseline,5.0,8.0,5.429344299715012,124,1
50,9322.jpg,negative,baseline,2.0,7.0,4.960781500209123,124,1
51,5780.jpg,positive,baseline,8.0,5.0,4.537557099945843,124,1
52,9571.jpg,negative,baseline,1.0,8.0,6.371171400416642,124,1
53,7640.jpg,neutral,baseline,2.0,8.0,4.8226880999282,124,1
54,5600.jpg,positive,baseline,5.0,7.0,4.462917500175536,124,1
55,7050.jpg,neutral,baseline,5.0,1.0,8.749304899945855,124,1
56,7037.jpg,neutral,baseline,7.0,3.0,7.0409964001737535,124,1
57,9413.jpg,negative,baseline,1.0,9.0,7.773050500079989,124,1
58,9140.jpg,negative,baseline,2.0,7.0,10.005205699708313,124,1
59,7179.jpg,neutral,baseline,5.0,2.0,9.121615999843925,124,1
0,9921.jpg,negative,regulation,4.0,0.0,10.008556500077248,124,1
1,6540.jpg,negative,regulation,4.0,4.0,6.668268100358546,124,1
2,9421.jpg,negative,regulation,3.0,8.0,9.012345999944955,124,1
3,9254.jpg,negative,regulation,2.0,7.0,5.201670500449836,124,1
4,6560.jpg,negative,regulation,3.0,7.0,6.294891899917275,124,1
5,9800.jpg,negative,regulation,3.0,7.0,5.084824200253934,124,1
6,9414.jpg,negative,regulation,4.0,6.0,8.22365349996835,124,1
7,9040.jpg,negative,regulation,1.0,8.0,4.059148800093681,124,1
8,6520.jpg,negative,regulation,3.0,6.0,5.758852099999785,124,1
9,9910.jpg,negative,regulation,5.0,6.0,5.408528799656779,124,1
10,9571.jpg,negative,regulation,1.0,8.0,3.453756700269878,124,1
11,9140.jpg,negative,regulation,2.0,7.0,4.617705299984664,124,1
12,9560.jpg,negative,regulation,2.0,7.0,8.629789900034666,124,1
13,9322.jpg,negative,regulation,2.0,7.0,4.116369899827987,124,1
14,6570.jpg,negative,regulation,4.0,7.0,4.453756299801171,124,1
15,9940.jpg,negative,regulation,4.0,8.0,7.941979200113565,124,1
16,6563.jpg,negative,regulation,3.0,8.0,6.498447600286454,124,1
17,9413.jpg,negative,regulation,4.0,7.0,4.440066900104284,124,1
18,9220.jpg,negative,regulation,3.0,8.0,8.0257359999232,124,1
19,9901.jpg,negative,regulation,5.0,3.0,9.99031910020858,124,1
