trial,image,category,phase,valence,arousal,rating_rt,participant_id,session
0,7018.jpg,neutral,baseline,4.0,3.0,3.943275400000857,18,2
1,3350.jpg,negative,baseline,3.0,4.0,3.4400108000008913,18,2
2,1441.jpg,positive,baseline,5.0,3.0,5.557695899999089,18,2
3,2091.jpg,positive,baseline,8.0,6.0,2.701239500001975,18,2
4,1710.jpg,positive,baseline,8.0,7.0,2.394780800001172,18,2
5,2703.jpg,negative,baseline,3.0,5.0,6.740840000002208,18,2
6,2311.jpg,positive,baseline,6.0,6.0,2.0567766999993182,18,2
7,3101.jpg,negative,baseline,2.0,6.0,4.478784099999757,18,2
8,1610.jpg,positive,baseline,7.0,1.0,5.870127999998658,18,2
9,2150.jpg,positive,baseline,4.0,4.0,5.843215100001544,18,2
10,7000.jpg,neutral,baseline,5.0,3.0,5.3034804000017175,18,2
11,2377.jpg,neutral,baseline,6.0,2.0,3.6981880000021192,18,2
12,3500.jpg,negative,baseline,4.0,3.0,3.6278860999991593,18,2
13,7006.jpg,neutral,baseline,5.0,1.0,2.695949400000245,18,2
14,7003.jpg,neutral,baseline,5.0,1.0,2.5967949999976554,18,2
15,2050.jpg,positive,baseline,2.0,5.0,4.671051199999056,18,2
16,7002.jpg,neutral,baseline,5.0,1.0,3.77792430000045,18,2
17,1750.jpg,positive,baseline,7.0,2.0,9.628146600000036,18,2
18,3005.1.jpg,negative,baseline,1.0,7.0,3.9522219999998924,18,2
19,2340.jpg,positive,baseline,5.0,5.0,3.305617699999857,18,2
20,2570.jpg,neutral,baseline,5.0,3.0,2.2433221000028425,18,2
21,3180.jpg,negative,baseline,4.0,4.0,4.672177999997075,18,2
22,7017.jpg,neutral,baseline,5.0,1.0,3.5170304000021133,18,2
23,2209.jpg,positive,baseline,7.0,3.0,2.845671000002767,18,2
24,5532.jpg,neutral,baseline,4.0,3.0,6.3413456000016595,18,2
25,6313.jpg,negative,baseline,3.0,5.0,3.340019699997356,18,2
26,2840.jpg,neutral,baseline,8.0,5.0,4.378820000001724,18,2
27,3530.jpg,negative,baseline,2.0,5.0,2.700032900000224,18,2
28,2347.jpg,positive,baseline,7.0,3.0,3.6802212999973563,18,2
29,3103.jpg,negative,baseline,1.0,7.0,4.602098399998795,18,2
30,2095.jpg,negative,baseline,1.0,7.0,2.8010716999997385,18,2
31,2154.jpg,positive,baseline,5.0,3.0,2.2393962999994983,18,2
32,2393.jpg,neutral,baseline,5.0,2.0,3.895822300000873,18,2
33,5920.jpg,neutral,baseline,4.0,3.0,7.325553200000286,18,2
34,7009.jpg,neutral,baseline,5.0,1.0,4.289430000000721,18,2
35,3030.jpg,negative,baseline,2.0,7.0,4.923631099998602,18,2
36,2749.jpg,neutral,baseline,5.0,1.0,3.4995669000018097,18,2
37,1920.jpg,positive,baseline,5.0,1.0,3.908494700001029,18,2
38,6350.jpg,negative,baseline,2.0,7.0,2.909214300001622,18,2
39,6360.jpg,negative,baseline,3.0,6.0,5.407830000000104,18,2
40,2205.jpg,negative,baseline,2.0,5.0,3.653277800000069,18,2
41,7004.jpg,neutral,baseline,5.0,1.0,2.6221421000009286,18,2
42,3301.jpg,negative,baseline,4.0,5.0,3.2780143999989377,18,2
43,2200.jpg,neutral,baseline,7.0,4.0,3.3816612000009627,18,2
44,2530.jpg,positive,baseline,7.0,2.0,5.02938659999927,18,2
45,6212.jpg,negative,baseline,3.0,6.0,4.9211622000002535,18,2
46,5510.jpg,neutral,baseline,4.0,4.0,4.898023999998259,18,2
47,2360.jpg,positive,baseline,7.0,3.0,2.848582399998122,18,2
48,3230.jpg,negative,baseline,3.0,4.0,6.153349199998047,18,2
49,2540.jpg,positive,baseline,5.0,3.0,2.3576987000014924,18,2
50,1460.jpg,positive,baseline,8.0,6.0,3.130151500001375,18,2
51,7012.jpg,neutral,baseline,5.0,1.0,2.884633700003178,18,2
52,2058.jpg,positive,baseline,5.0,3.0,5.704120700000203,18,2
53,2332.jpg,positive,baseline,4.0,3.0,5.7706091000000015,18,2
